model,model_args,n_seeds,n_params,val_acc_mean,val_acc_std,acc_shift_1px_mean,acc_shift_1px_std,acc_shift_2px_mean,acc_shift_2px_std,acc_shift_3px_mean,acc_shift_3px_std,acc_shift_4px_mean,acc_shift_4px_std
cnn,"{""batch_norm"": true, ""channels"": [32, 64], ""dropout"": 0.25}",10,468202.0,0.991502,0.00017158088471625076,0.989452,0.0005413316912947165,0.9791679999999999,0.003637309139704478,0.9255700000000001,0.011925108897709211,0.817738,0.025346637208469643
cnn,"{""channels"": [32, 64]}",10,467818.0,0.98774,0.0013345161420280191,0.983668,0.0020090948763615683,0.9564999999999999,0.006004135611763328,0.854166,0.016785064260294687,0.681522,0.027275625586063286
mlp,"{""hidden_sizes"": [512, 256, 128]}",10,567434.0,0.9707380000000001,0.0026396329711196815,0.9474540000000001,0.003457928731352196,0.812216,0.01043148780269517,0.563644,0.028065350404606275,0.354716,0.02510144626200738
mlp,"{""hidden_sizes"": [128]}",10,101770.0,0.9699519999999999,0.0006471613228382537,0.943356,0.002552633498522226,0.77962,0.013878906457082462,0.499332,0.01760044620646494,0.301382,0.016393419275903223
mlp,"{""hidden_sizes"": [256, 128]}",10,235146.0,0.9695,0.005710738422772788,0.9485240000000001,0.005802526652722549,0.8129519999999999,0.00971554173019244,0.5366920000000001,0.016085429431631597,0.33990400000000004,0.020250295580833164
